Agency,location,bedrooms,bathrooms,price
Ace Realtors Limited,"21 05 04, 02 RA, Waiyaki Way, Westlands",2,2,60000
Real Management Services 2002Limited,"1, Crescent Road, Parklands, Westlands",3,2,60000
Real Management Services 2002Limited,"Crescent Road, Parklands, Westlands",3,2,60000
Kenya Classic Homes,"Kileleshwa, Dagoretti North",2,2,60000
Azizi Realtors,"Lavington, Dagoretti North",3,2,60000
Range Wide Properties,"Kileleshwa, Dagoretti North",3,2,60000
Range Wide Properties,"Rhapta Road, Westlands",3,2,60000
Wealthlink Realtors Ltd,"Karen, Langata",2,2,60000
Wealthlink Realtors Ltd,"Waiyaki Way, Westlands",3,3,60000
Dalizu Holdings Limited,"Kileleshwa, Dagoretti North",3,2,60000
Fitsher Homes Ltd,"Kiambu Road, Kiambu Road",4,4,60000
Ric Realtors,"Karen, Langata",2,1,60000
Cfs Homes,"Westlands Area, Westlands",2,2,60000
Cfs Homes,"Ruaka, Kiambaa",3,1,60000
Tysons Limited,"Ngara, Starehe",3,2,60000
Capstone Properties,"Rhapta Road, Westlands",1,1,60000
Crystal Valuers Ltd,"Ngong Road, Ngong Road",2,2,60000
Buy Rent Shelters,"Loresho, Westlands",2,2,60000
Dalizu Holdings Limited,"Kileleshwa, Dagoretti North",2,2,60000
Fuzone Pride Investment,"Kileleshwa, Dagoretti North",2,2,60000
Fuzone Pride Investment,"Kilimani, Dagoretti North",2,2,60000
Fuzone Pride Investment,"Kilimani, Dagoretti North",2,2,60000
Gemac Properties,"Fourways Junction, Kiambu Road, Kiambu Road",3,2,60000
Pmm Properties,"Off Rhapta Road, Westlands Area, Westlands",1,1,60000
Rayalink Properties,"Loresho, Loresho, Westlands",2,2,60500
Phillavilla,"Ngong Road, Ngong Road",3,2,62000
Azizi Realtors,"Off Ojijo, Westlands Area, Westlands",2,2,62500
Kenya Classic Homes,"Kilimani, Dagoretti North",1,1,65000
Masterways Properties Ltd,"Gatundu Road, Kileleshwa, Dagoretti North",2,2,65000
Masterways Properties Ltd,"Chaka Road, Kilimani, Dagoretti North",2,1,65000
Lavingtonmanagement,"Valley Arcade, Lavington, Dagoretti North",2,2,65000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,65000
Prudential Green Ville,"lavington, lavington, Lavington, Dagoretti North",3,2,65000
Wealthlink Realtors Ltd,"Waiyaki Way, Westlands",2,2,65000
Wealthlink Realtors Ltd,"Loresho, Westlands",3,3,65000
Nickville Shelters,"Kilimani, Dagoretti North",2,1,65000
Rescom Ventures Ltd,"Kileleshwa, Dagoretti North",2,2,65000
Naftal Properties,"Kilimani, Dagoretti North",2,1,65000
Ever Forgarden ,"Denis Pritt, Kilimani, Dagoretti North",2,1,65000
Cfs Homes,"Kilimani, Dagoretti North",2,2,65000
Cfs Homes,"Hurlingham, Hurlingham, Dagoretti North",2,2,65000
Splendor Holdings,"Kileleshwa, Dagoretti North",1,1,65000
Phillavilla,"Rhapta Road, Westlands",3,2,65000
Canaan Properties,"Waiyaki Way, Westlands",3,2,65000
Ace Realtors Limited,"21 05 06, 29 RA, Westlands Area, Westlands",2,1,65000
Gimco Limited,"langata, Langata Area, Langata",3,1,65000
Green Knight Properties,"Mbaazi, Mbaazi, Lavington, Dagoretti North",1,1,65000
